OBS TIME CONC
1 10 3.07135345082608
2 20 3.19331776793741
3 30 3.10769275780406
4 40 2.72583854364142
5 50 2.7957286257776
6 60 2.90918552012267
7 70 2.84036426878489
8 80 2.66531562679644
9 90 3.31812345753362
10 100 2.630138250797
11 110 2.54972657853543
12 120 2.97412117887943
13 130 2.56889450307035
14 140 2.44695711306298
15 150 2.47250792575394
16 160 2.46266849266743
17 170 2.55872051022398
18 180 2.55188988364122
19 190 2.48264584904763
20 200 2.68834369991486
21 210 2.65936025226651
22 220 2.24090879620919
23 230 2.21175862150458
24 240 2.30359275222896
25 250 2.3161842656295
26 260 2.40682048164527
27 270 2.46768786103455
28 280 2.63784109206446
29 290 2.46376361195594
30 300 2.06647374927011
31 310 2.32698138959014
32 320 2.42608701181907
33 330 2.30918063582318
34 340 2.62495900063926
35 350 2.82470033678462
36 360 2.74942102611632
37 370 2.6504626988836
38 380 2.69544989056709
39 390 2.83511962848988
40 400 2.59503152604885
41 410 2.37889512632777
42 420 2.96097701533177
43 430 2.79713713281929
44 440 2.73249819736017
45 450 2.53388644545317
46 460 2.58289528285927
47 470 2.52080157553032
48 480 2.7236981830419
49 490 2.38261394564838
50 500 2.69894238405
51 510 2.40895066119763
52 520 2.61160656570688
53 530 2.10229810680911
54 540 2.53602653881333
55 550 2.29424045243973
56 560 2.4878340254264
57 570 2.56279687452153
58 580 2.22554381027307
59 590 2.76237205439307
60 600 2.49423299837558
61 610 2.40040331103759
62 620 2.3295621570053
63 630 2.3444479455709
64 640 2.56149903742976
65 650 2.50644956623358
66 660 2.37696372820564
67 670 2.64997933269068
68 680 2.27806661049326
69 690 2.5311365104582
70 700 2.58007119785782
71 710 3.03690708305819
72 720 4.53328731646461
73 730 5.34722968175027
74 740 5.27036482334433
75 750 4.64523398861541
76 760 4.54794661114656
77 770 4.12680650304267
78 780 3.31679503839811
79 790 3.58707246976706
80 800 3.35063950685947
81 810 3.24497865154177
82 820 2.95426240198996
83 830 2.91791442011423
84 840 2.90975697461485
85 850 2.92187704937527
86 860 2.77617755196724
87 870 2.70878714590311
88 880 3.00467924112734
89 890 3.22528680561829
90 900 3.27512673944527
91 910 3.43365911989194
92 920 3.00591812973992
93 930 2.92129952465146
94 940 3.41459962401561
95 950 2.48472316488849
96 960 3.02289251621201
97 970 2.57857255908412
98 980 2.62356609942167
99 990 3.02998157461888
100 1000 2.74420480858217
101 1010 2.89923039441653
102 1020 3.01792229014727
103 1030 3.07447175669981
104 1040 3.21546825532442
105 1050 3.05940760219613
106 1060 2.80804603778356
107 1070 3.48476351065316
108 1080 3.07533708923988
109 1090 3.43727977327293
110 1100 2.75265999560295
111 1110 3.15414613996627
112 1120 2.69456853773104
113 1130 2.52417857415557
114 1140 2.79760035622445
115 1150 2.62577823176194
116 1160 2.32955450432642
117 1170 2.61352668338098
118 1180 2.56734810011255
119 1190 2.44499864058638
120 1200 2.49645153482672
121 1210 2.55921557230182
122 1220 2.35381190121146
123 1230 2.52221409223062
124 1240 2.56952455740295
125 1250 2.53637702949206
126 1260 2.49771399488469
127 1270 2.46012111237869
128 1280 2.26015472252518
129 1290 2.1117340749232
130 1300 2.35850269580421
131 1310 2.45066702740074
132 1320 2.52572515953862
133 1330 2.77948035771451
134 1340 2.51821380220213
135 1350 2.52486874027651
136 1360 2.23982587309132
137 1370 2.77584960523904
138 1380 2.26239023855143
139 1390 2.31118609014666
140 1400 2.22720753264186
141 1410 2.26016140090537
142 1420 2.56587507947719
143 1430 2.55314245029732
144 1440 2.78351298018194
